timestamp,dt,meas_0,meas_1,meas_2,meas_3,control_0,control_1,control_2,control_3,sensor_mask_0,sensor_mask_1,sensor_mask_2,sensor_mask_3
0.012000,0.004000,0.000000,0.000000,1.000000,0.720000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.016000,0.004000,0.001000,0.001000,1.008000,0.690000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.020000,0.004000,0.000000,0.001000,1.005000,0.690000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.024000,0.004000,-0.002000,0.004000,1.000000,0.690000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.028000,0.004000,-0.003000,0.003000,0.994000,0.710000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.032000,0.006000,-0.003000,0.003000,0.984000,0.710000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.038000,0.004000,0.001000,0.041000,1.017000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.042000,0.004000,0.000000,0.076000,1.071000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.046000,0.006000,-0.008000,0.047000,1.159000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.052000,0.002000,-0.032000,-0.046000,1.176000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.054000,0.006000,-0.084000,-0.007000,1.189000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.060000,0.004000,-0.078000,0.070000,1.167000,0.720000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.064000,0.004000,-0.088000,0.150000,1.161000,0.720000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.068000,0.006000,-0.053000,0.073000,1.138000,0.720000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.074000,0.002000,0.029000,-0.037000,1.135000,0.710000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.076000,0.006000,0.116000,-0.038000,1.113000,0.710000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.082000,0.004000,0.175000,0.072000,1.096000,0.710000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.086000,0.004000,0.198000,0.131000,1.065000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
0.090000,0.004000,0.187000,0.082000,1.042000,0.700000,0.000000,-0.000000,-0.000000,0.000000,1,1,1,1
