timestamp,dt,meas_0,meas_1,meas_2,meas_3,control_0,sensor_mask_0,sensor_mask_1,sensor_mask_2,sensor_mask_3
0.000000,0.004000,0.509783,0.162546,0.008456,-9.797898,0.005785,1,1,1,1
0.004000,0.004000,0.514093,0.194075,0.049093,-9.918524,0.001081,1,1,1,1
0.008000,0.004000,0.480185,0.178944,-0.208277,-9.838048,-0.004860,1,1,1,1
0.012000,0.004000,0.482543,0.220593,0.012674,-9.938181,-0.005840,1,1,1,1
0.016000,0.004000,0.500498,0.216257,-0.123512,-9.795341,0.028080,1,1,1,1
0.020000,0.004000,0.502117,0.202691,0.003053,-9.927071,0.015001,1,1,1,1
0.024000,0.004000,0.484108,0.197114,-0.069995,-9.681285,0.004310,1,1,1,1
0.028000,0.004000,0.489070,0.175510,0.163546,-9.781409,0.032828,1,1,1,1
0.032000,0.004000,0.514687,0.208746,-0.075929,-9.643531,0.026551,1,1,1,1
0.036000,0.004000,0.496281,0.196917,-0.048227,-9.899911,-0.002885,1,1,1,1
0.040000,0.004000,0.509221,0.177406,0.115481,-9.898622,0.001283,1,1,1,1
0.044000,0.004000,0.492860,0.204551,-0.058231,-9.793627,0.005766,1,1,1,1
0.048000,0.004000,0.508059,0.144287,-0.024271,-9.679004,-0.032903,1,1,1,1
0.052000,0.004000,0.502430,0.193319,-0.012020,-9.859536,0.016755,1,1,1,1
0.056000,0.004000,0.479385,0.181081,0.032754,-9.791387,-0.024180,1,1,1,1
0.060000,0.004000,0.502816,0.205523,0.015581,-9.847581,-0.012082,1,1,1,1
0.064000,0.004000,0.509006,0.173976,0.017567,-9.716172,0.012463,1,1,1,1
0.068000,0.004000,0.504691,0.192050,-0.073307,-9.804808,0.017494,1,1,1,1
0.072000,0.004000,0.484720,0.157744,0.048273,-9.723262,0.016557,1,1,1,1
0.076000,0.004000,0.494528,0.198952,-0.216289,-9.967687,0.001515,1,1,1,1
0.080000,0.004000,0.480607,0.219239,-0.026642,-9.802057,0.006275,1,1,1,1
0.084000,0.004000,0.497077,0.218288,-0.223906,-9.879499,-0.003449,1,1,1,1
0.088000,0.004000,0.508539,0.214925,-0.077649,-9.712610,0.008469,1,1,1,1
0.092000,0.004000,0.516107,0.204502,-0.004603,-9.849496,0.015199,1,1,1,1
0.096000,0.004000,0.487929,0.243532,-0.032779,-9.814686,0.036923,1,1,1,1
0.100000,0.004000,0.493938,0.155996,0.057924,-9.853050,0.030518,1,1,1,1
0.104000,0.004000,0.542437,0.207192,-0.186767,-9.931116,0.020642,1,1,1,1
0.108000,0.004000,0.512919,0.201122,0.107448,-10.004471,0.014735,1,1,1,1
0.112000,0.004000,0.498701,0.227823,-0.040555,-9.908692,-0.004046,1,1,1,1
0.116000,0.004000,0.498842,0.167526,-0.000403,-9.725284,-0.009582,1,1,1,1
0.120000,0.004000,0.496030,0.192346,0.196205,-9.743863,0.016221,1,1,1,1
0.124000,0.004000,0.501248,0.208325,-0.122047,-9.899046,0.032711,1,1,1,1
0.128000,0.004000,0.487535,0.199860,0.093942,-9.670331,-0.008798,1,1,1,1
0.132000,0.004000,0.503389,0.201414,-0.141982,-9.751609,0.039799,1,1,1,1
0.136000,0.004000,0.493870,0.195985,-0.153512,-9.727967,-0.010173,1,1,1,1
0.140000,0.004000,0.502508,0.207347,0.102612,-9.824197,0.035548,1,1,1,1
0.144000,0.004000,0.497757,0.197776,0.037469,-9.655580,0.018837,1,1,1,1
0.148000,0.004000,0.512640,0.178699,-0.235776,-9.752464,-0.018277,1,1,1,1
0.152000,0.004000,0.513456,0.174316,-0.124600,-9.854347,0.008174,1,1,1,1
0.156000,0.004000,0.513270,0.202553,-0.321663,-9.694658,0.008920,1,1,1,1
0.160000,0.004000,0.492672,0.203869,-0.051937,-9.880447,-0.005540,1,1,1,1
0.164000,0.004000,0.504189,0.215737,0.017377,-9.827456,-0.013469,1,1,1,1
