timestamp,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
1.600000000000000033e-02,8.563907597112564198e-05,-2.895869032056896036e-06,4.946741664384470233e-05,2.963874481563906829e-02,-9.164930442875697525e-02,8.388558540412679676e+00,1.715634583618222314e+04,8.697940566763005563e+02,3.478171018854522845e+04
2.000000000000000042e-02,-1.122982908227526541e-04,8.530373192713473817e-05,1.620221900597214890e-05,2.952217783379577562e-02,-6.442705562524175811e-02,8.421269615466414393e+00,1.693614886356413990e+04,8.583918361917368429e+02,3.464042897932462802e+04
2.400000000000000050e-02,1.638229109873480212e-04,2.277128027270552144e-04,-1.703747986276031416e-04,7.085445538488766015e-02,-6.687472630425589371e-02,8.418398244205656411e+00,1.720402624908560756e+04,1.067403091511258253e+03,3.421144199308127281e+04
2.800000000000000058e-02,6.955983982402547008e-05,-1.933811375371862677e-05,2.324832443577283503e-04,7.109160409219628107e-02,-8.163929004667055955e-02,8.426176274158351021e+00,1.716071957870119149e+04,7.818095147822566560e+02,3.458149978466183529e+04
3.200000000000000067e-02,7.209320099776405418e-04,2.481643957529385490e-04,-5.304139804391313356e-04,3.027651106273512166e-02,-8.906434572860486010e-02,8.395668034103328736e+00,1.678275034281804255e+04,1.067198737498692253e+03,3.438078365737262357e+04
3.799999999999999906e-02,5.804835730155129443e-03,6.979109619107770959e-04,-8.262090065520714434e-04,5.597908879716274877e-02,-1.137653682391520232e-01,8.425263514377105523e+00,1.680984643672798120e+04,1.119595996124876365e+03,3.458275279805273749e+04
4.200000000000000261e-02,5.494996552970350320e-03,5.417987621345884226e-04,-1.246336439254184256e-03,3.235636064470456819e-02,-6.658762165136290767e-02,8.424633880111597861e+00,1.693858826641155247e+04,1.262506829869929334e+03,3.445131897543529340e+04
4.599999999999999922e-02,3.373562838191686720e-03,3.710786445190889242e-04,-1.267359433640804708e-03,7.256969978758631701e-02,-7.528098496737187229e-02,8.378175688632406803e+00,1.706300345124749947e+04,1.035300946341457347e+03,3.441684295695706533e+04
5.199999999999999761e-02,1.176472814990254774e-03,-1.176289993109234049e-04,4.678671016337269722e-05,3.482049803765127627e-02,-1.132955825858017462e-01,8.399250894223179387e+00,1.714759665210026651e+04,8.808846834320827384e+02,3.445691025889533921e+04
5.399999999999999939e-02,-6.426003302370160170e-04,-1.120605619981091227e-04,7.829037663572092681e-06,6.638720816537421743e-02,-7.712059225192648138e-02,8.395637883577411031e+00,1.731936339531628983e+04,7.831163469651573905e+02,3.407137387583839154e+04
5.999999999999999778e-02,-1.013719330384841612e-03,6.676231810797214226e-05,5.285675048292431564e-04,1.588565388169652787e-02,-8.924552722476071509e-02,8.385285291071202352e+00,1.736719021693985997e+04,1.474572207870632610e+03,3.445814176117850729e+04
6.400000000000000133e-02,-1.060328574208570154e-04,2.957959892086061172e-06,2.578412095429416192e-04,2.273778194909183495e-02,-8.366259193918482162e-02,8.432722734884928073e+00,1.668369338898685237e+04,9.235908071458031827e+02,3.448107574536212633e+04
6.800000000000000488e-02,6.957244853954425580e-05,-9.155934214423162940e-07,1.176407824347237336e-04,4.833537722662303859e-02,-1.357234415351410983e-01,8.415703828419404786e+00,1.702024545104616845e+04,7.689207831097536427e+02,3.464787452557438519e+04
7.399999999999999634e-02,-6.075181624952213054e-04,5.020654398553874628e-04,5.395734720107783419e-04,3.758498951077420686e-02,-8.163992596896721410e-02,8.441940688609875565e+00,1.715782178819444016e+04,6.953983552028449822e+02,3.467095754268541350e+04
7.599999999999999811e-02,-1.917844496233181699e-04,3.542862011322154723e-04,4.985747707803817952e-04,-5.132026648721296769e-03,-1.017463959035749960e-01,8.421434621735741644e+00,1.745218858129889850e+04,1.016374454670051364e+03,3.447128968811905361e+04
8.200000000000000344e-02,-8.314308043846249619e-04,1.166221764578443364e-03,1.209577998381789442e-03,4.461129986637661637e-03,-6.043216904690378033e-02,8.416983628651344418e+00,1.702921001902973876e+04,1.101587781732713893e+03,3.420293697619899467e+04
