timestamp,qw,qx,qy,qz
1.600000000000000033e-02,1.000000000120350618e+00,-7.597528614697630556e-08,-2.757832130149365330e-07,4.427276031800561045e-07
2.000000000000000042e-02,1.000000000331198846e+00,2.236060319470675157e-07,-9.855437224877092605e-08,3.879209037170765356e-08
2.400000000000000050e-02,1.000000000469834394e+00,4.533212867976628296e-07,-3.831933821927657645e-07,4.726004251301425259e-07
2.800000000000000058e-02,1.000000000437150760e+00,1.878626648504577313e-06,-9.416447754798360285e-08,-6.558366446635489653e-07
3.200000000000000067e-02,1.000000000402455624e+00,1.354867208045769587e-05,1.120079141249085830e-06,-2.301137326187099796e-06
3.799999999999999906e-02,9.999999976681005487e-01,2.467067812330051322e-05,2.176711400956491743e-06,-4.823173494457094162e-06
4.200000000000000261e-02,9.999999984141424436e-01,3.158493098947756845e-05,2.921127897784720704e-06,-7.373654906419535337e-06
4.599999999999999922e-02,9.999999997702316845e-01,3.403109745394162464e-05,2.751343214960761604e-06,-7.236245371094071273e-06
5.199999999999999761e-02,9.999999996573747385e-01,3.309107677504048646e-05,2.563524966691643307e-06,-7.203631172491539938e-06
5.399999999999999939e-02,9.999999997769705162e-01,3.131349992106957799e-05,2.714591800951981734e-06,-6.036524251651436649e-06
5.999999999999999778e-02,9.999999995967794320e-01,3.122011468457754497e-05,2.674194675320803999e-06,-5.593892534904874444e-06
6.400000000000000133e-02,9.999999991580715841e-01,3.152819770771542711e-05,2.694844994220591063e-06,-5.386902902579784504e-06
6.800000000000000488e-02,9.999999990719657950e-01,3.033585548128003346e-05,3.633160542620310196e-06,-4.368728439277588499e-06
7.399999999999999634e-02,9.999999990658406945e-01,2.994636761894491964e-05,4.317765512772792861e-06,-3.420115115511811999e-06
7.599999999999999811e-02,9.999999985006702286e-01,2.835257347449485649e-05,6.677796338031672142e-06,-1.066433400213219474e-06
8.200000000000000344e-02,9.999999980300385838e-01,2.540759059740624223e-05,9.067183274721301366e-06,1.565562080598280307e-06
8.599999999999999312e-02,1.000000000512496046e+00,2.297266247749700296e-05,1.175530505550872645e-05,3.972293749993391079e-06
8.999999999999999667e-02,1.000000000087102769e+00,1.881138070229512797e-05,1.495934169794420460e-05,6.963561329820411896e-06
9.400000000000000022e-02,9.999999963135596248e-01,1.278750271788906735e-05,1.943865513699531857e-05,1.153112783356012179e-05
1.000000000000000056e-01,1.000000002291009382e+00,7.859170005599435478e-06,2.357686729074630981e-05,1.759468705498612012e-05
1.039999999999999952e-01,9.999999985454800511e-01,2.234072995370988471e-06,2.845249016731823147e-05,2.342055029348850747e-05
1.079999999999999988e-01,9.999999993165232803e-01,2.236692031470925869e-06,2.844710537563891657e-05,2.342686150516349485e-05
1.079999999999999988e-01,1.000000004252574071e+00,-5.478652638258937218e-06,3.444617784072467214e-05,3.011275250153218856e-05
1.120000000000000023e-01,9.999999914359635200e-01,-1.642787149721711501e-05,4.493155793165913244e-05,3.973580143311879420e-05
1.179999999999999938e-01,9.999999967668096179e-01,-1.910368801245603478e-05,4.756203389598874103e-05,4.333791671867807488e-05
1.199999999999999956e-01,9.999999983322630515e-01,-2.903564073033686885e-05,5.617142296848737774e-05,5.207481535501590198e-05
1.280000000000000027e-01,9.999999949388330700e-01,-3.279295746018947487e-05,5.944924034001448443e-05,5.532732010407475802e-05
1.320000000000000062e-01,9.999999973228044237e-01,-3.523557389330718187e-05,6.122019378768536150e-05,5.819716785467129604e-05
1.340000000000000080e-01,1.000000000406263245e+00,-3.975768127204013023e-05,6.628728598843633987e-05,6.364316241708971973e-05
1.400000000000000133e-01,9.999999947553607216e-01,-4.167592449665286688e-05,6.869852306176752214e-05,6.474026339345095068e-05
1.439999999999999891e-01,9.999999946529494199e-01,-4.397757604506405513e-05,7.085691809259305265e-05,6.646600027733263777e-05
1.479999999999999927e-01,9.999999936114938315e-01,-4.580823812908787221e-05,7.316399169303924193e-05,6.820859478393447440e-05
1.539999999999999980e-01,9.999999946330809797e-01,-4.652087409231751034e-05,7.346467504827927859e-05,6.798791798501998781e-05
1.580000000000000016e-01,9.999999940993890002e-01,-4.667529749732797018e-05,7.318862177495559680e-05,6.926831625536366839e-05
1.620000000000000051e-01,9.999999939041602781e-01,-4.648043478182656480e-05,7.321787241303356593e-05,6.831471217609409534e-05
1.660000000000000087e-01,9.999999941399552172e-01,-4.660004755502963094e-05,7.309892900567501069e-05,6.898423584653669272e-05
1.700000000000000122e-01,9.999999939220686196e-01,-4.617836573058675654e-05,7.276211693755877655e-05,6.881604100032695330e-05
1.739999999999999880e-01,9.999999946825514074e-01,-4.554694782980759493e-05,7.170101816373180008e-05,6.957264710420041484e-05
1.799999999999999933e-01,9.999999949895348461e-01,-4.303995162559753575e-05,6.495006409506132346e-05,6.677689915532208313e-05
1.839999999999999969e-01,9.999999960442147451e-01,-3.966090229161042189e-05,5.554645775066136362e-05,6.095234069892529799e-05
1.880000000000000004e-01,9.999999971572254287e-01,-3.465078514284528554e-05,4.232026527009798980e-05,5.400175387654385973e-05
1.920000000000000040e-01,9.999999978439901849e-01,-2.910771106565384486e-05,2.615773633977666577e-05,4.388166337991206026e-05
1.960000000000000075e-01,9.999999995832081767e-01,-2.253755873423034513e-05,4.839851609353015523e-06,3.041526594394988541e-05
2.000000000000000111e-01,1.000000007554867176e+00,-8.165751351052774438e-06,-3.124139967331140868e-05,7.328332593764989931e-06
2.059999999999999887e-01,9.999999918075090921e-01,2.450212529798542730e-06,-6.032154286437508282e-05,-1.048712461836719649e-05
2.099999999999999922e-01,1.000000001766777835e+00,1.521434826268434345e-05,-9.174270408101700323e-05,-3.169799065845481031e-05
2.139999999999999958e-01,9.999999737411943146e-01,3.609076532850920033e-05,-1.457107915967516482e-04,-6.562924213240171217e-05
2.200000000000000011e-01,9.999999729496140688e-01,4.320302074175102867e-05,-1.650695132018086605e-04,-7.812241754524309990e-05
2.220000000000000029e-01,9.999999749571647500e-01,6.797500315913525151e-05,-2.294258319850929408e-04,-1.201849526677848962e-04
2.280000000000000082e-01,9.999999648926983786e-01,9.340321244138920080e-05,-2.954774150123021291e-04,-1.647438370779115077e-04
2.340000000000000135e-01,9.999998982290351224e-01,1.107222483175993673e-04,-3.391512884543129995e-04,-1.912038267128748394e-04
2.379999999999999893e-01,9.999998759273055482e-01,1.279445863931835019e-04,-3.828350396784869396e-04,-2.178842837771006167e-04
2.419999999999999929e-01,9.999998762324727730e-01,1.360945854762109577e-04,-4.046549855526807037e-04,-2.314555188984662542e-04
2.439999999999999947e-01,9.999998125521130099e-01,1.602498991716046358e-04,-4.692571241622962722e-04,-2.732737955818083700e-04
2.500000000000000000e-01,9.999998137342565041e-01,1.677551799026068182e-04,-4.900745875842512853e-04,-2.861000954865948833e-04
2.520000000000000018e-01,9.999997652410085314e-01,1.954088669184894384e-04,-5.607759668114022144e-04,-3.326537255271592129e-04
2.600000000000000089e-01,9.999997477316812100e-01,2.063927021117418050e-04,-5.914774726686459518e-04,-3.506825248740738925e-04
2.640000000000000124e-01,9.999997362195419681e-01,2.119585880457861839e-04,-6.051585971579596457e-04,-3.599184033813497855e-04
2.660000000000000142e-01,9.999996944910947150e-01,2.262750023145771166e-04,-6.430658472827634371e-04,-3.832666960786173258e-04
2.720000000000000195e-01,9.999996729128322048e-01,2.353259344963838000e-04,-6.630067509471853499e-04,-3.960852179844103751e-04
2.760000000000000231e-01,9.999996599943992148e-01,2.419354510301630946e-04,-6.811975199170713403e-04,-4.069143144816926138e-04
2.800000000000000266e-01,9.999996298205239276e-01,2.493627376217329964e-04,-7.002969125650345978e-04,-4.185629871729372345e-04
2.859999999999999765e-01,9.999996254136858109e-01,2.531248427934145091e-04,-7.101407283765270081e-04,-4.248265881034661551e-04
2.899999999999999800e-01,9.999996146394714014e-01,2.556413353576460863e-04,-7.147680173106000677e-04,-4.294447139603683279e-04
2.939999999999999836e-01,9.999996176317802465e-01,2.570536875715974021e-04,-7.167921694773628661e-04,-4.306579035388304316e-04
2.979999999999999871e-01,9.999996164985925917e-01,2.573699627740208486e-04,-7.175307916171195892e-04,-4.310264171527445200e-04
2.999999999999999889e-01,9.999996180986898686e-01,2.563794620216164333e-04,-7.159733487675113556e-04,-4.299302210715537213e-04
3.059999999999999942e-01,9.999996181035756271e-01,2.570358560748950221e-04,-7.161630037527918265e-04,-4.307000055470195017e-04
3.119999999999999996e-01,9.999996176159805517e-01,2.573875932737095993e-04,-7.166047130728068820e-04,-4.306411195736608135e-04
3.160000000000000031e-01,9.999996177540968478e-01,2.574602062712572819e-04,-7.160865821176568132e-04,-4.307919694553312005e-04
3.200000000000000067e-01,9.999996198897327382e-01,2.574294488942250594e-04,-7.159256421331438181e-04,-4.282637212256640053e-04
3.240000000000000102e-01,9.999996312162111600e-01,2.574376429321326718e-04,-7.154449670709268948e-04,-4.217995027706681883e-04
3.280000000000000138e-01,9.999996233498332776e-01,2.572452665151658607e-04,-7.149249123921297584e-04,-4.144456149800583534e-04
3.320000000000000173e-01,9.999996388100301781e-01,2.561090322401992497e-04,-7.134435709755609055e-04,-3.971790554587397055e-04
3.380000000000000226e-01,9.999996344575305951e-01,2.558166292897161125e-04,-7.119749043668249008e-04,-3.830017061216163120e-04
3.420000000000000262e-01,9.999996459298650109e-01,2.556200533819893896e-04,-7.106842556003196108e-04,-3.682042814874438279e-04
3.459999999999999742e-01,9.999996387318712543e-01,2.549061521440778287e-04,-7.086986997545253845e-04,-3.500829192933517151e-04
3.499999999999999778e-01,9.999996639307763280e-01,2.541173531335397641e-04,-7.070149730106082327e-04,-3.285662124819272063e-04
3.539999999999999813e-01,9.999996381117846056e-01,2.537169257495745680e-04,-7.037324542716664978e-04,-2.968578557249632001e-04
3.599999999999999867e-01,9.999996920710305659e-01,2.528303402275716510e-04,-7.013038442666938996e-04,-2.736915289954554645e-04
3.639999999999999902e-01,9.999996850294742279e-01,2.524501452724838588e-04,-6.990788374220037070e-04,-2.490592123908636738e-04
3.679999999999999938e-01,9.999996941309564624e-01,2.510269168696902019e-04,-6.963094740577016129e-04,-2.244977544750703527e-04
3.719999999999999973e-01,9.999997146732189091e-01,2.503296800718029982e-04,-6.933958724321513407e-04,-1.987139821380274739e-04
3.760000000000000009e-01,9.999997228971719831e-01,2.480015909813777395e-04,-6.889394623885118770e-04,-1.528347324601660271e-04
3.820000000000000062e-01,9.999997341750421764e-01,2.470196712297224807e-04,-6.853325723085641231e-04,-1.201573037269333558e-04
3.860000000000000098e-01,9.999996991052785278e-01,2.451118031484805066e-04,-6.817437168979272608e-04,-8.611300291534832200e-05
3.900000000000000133e-01,9.999997417273369660e-01,2.441686712115733121e-04,-6.780693767793183595e-04,-4.989329911954153228e-05
3.940000000000000169e-01,9.999997250196100973e-01,2.432819786448157159e-04,-6.737047699916368700e-04,-1.118586256588220045e-05
3.980000000000000204e-01,9.999997669373403841e-01,2.404994943899691786e-04,-6.674388738880684784e-04,5.386648106251243221e-05
4.040000000000000258e-01,9.999997331011665214e-01,2.399428838356111582e-04,-6.624984815512642219e-04,9.834164379593824420e-05
4.079999999999999738e-01,9.999997718368001109e-01,2.379737271600830626e-04,-6.581710001390555804e-04,1.431582410387194750e-04
4.119999999999999774e-01,9.999997809509052482e-01,2.368048570917935525e-04,-6.527158602668748809e-04,1.914045439003615159e-04
4.159999999999999809e-01,9.999996952670324735e-01,2.350763710923793972e-04,-6.472326880003522994e-04,2.439340930249540179e-04
4.199999999999999845e-01,9.999997285896689014e-01,2.335294593848709160e-04,-6.425359353537926426e-04,2.890214291464759336e-04
4.239999999999999880e-01,9.999997572425008974e-01,2.316451950449161131e-04,-6.374680870818071271e-04,3.305131955033374213e-04
4.279999999999999916e-01,9.999996817100658131e-01,2.283882057869041418e-04,-6.291959175417677526e-04,4.023170073634645106e-04
4.339999999999999969e-01,9.999997039605680316e-01,2.264050550968159966e-04,-6.245829015610478673e-04,4.401604327500198335e-04
4.380000000000000004e-01,9.999996565748090482e-01,2.241430842731841056e-04,-6.200855051950850214e-04,4.723119807886758592e-04
4.420000000000000040e-01,9.999996759707348026e-01,2.223156780893731192e-04,-6.156081363215011983e-04,5.097633691857348173e-04
4.460000000000000075e-01,9.999996567938098657e-01,2.207913896039661347e-04,-6.116168031468779357e-04,5.450503924124968595e-04
4.500000000000000111e-01,9.999996838015353662e-01,2.177453850187402072e-04,-6.058851442910103639e-04,5.894662281597934372e-04
4.560000000000000164e-01,9.999996299349398488e-01,2.161408602329433642e-04,-6.028878633133458089e-04,6.186541738873935822e-04
4.600000000000000200e-01,9.999996066458249899e-01,2.150188257925601809e-04,-6.001271894163464271e-04,6.461575574963645706e-04
4.640000000000000235e-01,9.999995184213605892e-01,2.130355401772847748e-04,-5.953689664235236548e-04,6.865828090167414369e-04
4.699999999999999734e-01,9.999995719448891984e-01,2.123076259615595894e-04,-5.927363532503244570e-04,7.137901389325490131e-04
4.739999999999999769e-01,9.999995410760076364e-01,2.118731237691667455e-04,-5.901514918967824428e-04,7.398801459998016012e-04
4.779999999999999805e-01,9.999994918481120987e-01,2.103064035785495690e-04,-5.878840118266346129e-04,7.619100548579003148e-04
4.819999999999999840e-01,9.999995234137161182e-01,2.098625842798980141e-04,-5.860343329318043384e-04,7.841954480680742978e-04
4.859999999999999876e-01,9.999994791896610336e-01,2.096528180304743096e-04,-5.830167624191921272e-04,8.117075860007805059e-04
4.919999999999999929e-01,9.999994524455502187e-01,2.094047559274707956e-04,-5.815770879117231540e-04,8.283986500571085577e-04
4.959999999999999964e-01,9.999994633701232427e-01,2.088289661676127798e-04,-5.798476868766014748e-04,8.439207104699373956e-04
5.000000000000000000e-01,9.999994371704672425e-01,2.088806706288235434e-04,-5.787223819075495773e-04,8.555853556446706837e-04
5.040000000000000036e-01,9.999994462163160902e-01,2.088150054989258036e-04,-5.776121676821564885e-04,8.644929640240437687e-04
5.080000000000000071e-01,9.999994264451126380e-01,2.089781820618786927e-04,-5.764530105083144791e-04,8.739673199076671050e-04
5.140000000000000124e-01,9.999994284873271466e-01,2.084675465984511475e-04,-5.767288267971046149e-04,8.758933487815702326e-04
5.160000000000000142e-01,9.999994276511082747e-01,2.087061268284925769e-04,-5.767078375602578905e-04,8.763273360306259464e-04
